Analiz Edilen Madde,İlişkili Rehber Maddesi (Yerel / Uluslararası),Kontrol Sorusu,Açıklama ve Gerekçe,Denetim Testi (Prosedür),Uygulama Notu / Örnek Kanıt
Sorunlu Alacak Çözümleme Rehberi Madde 22(b),Varlık Yönetim Şirketleri Yönetmeliği (alacak satışı); BDDK Muhasebe Uygulamaları (kayıttan düşme); EBA/GL/2018/06 (aktif portföy azaltımı),"Banka, sorunlu alacaklarını azaltmak için satış, menkul kıymetleştirme veya tamamen kayıttan düşme seçeneklerini içeren aktif portföy azaltım yöntemlerini stratejisinde değerlendiriyor mu?","Sorunlu kredilerin hızla azaltılabilmesi için banka gerektiğinde onları portföy şeklinde satarak elden çıkarabilir veya tamamen zarar yazıp bilançodan temizleyebilir. Bu aktif portföy azaltım yöntemleri, özellikle tahsilat imkanı çok düşük olan alacaklarda, bankanın riskten hızlı çıkışını sağlar. Bankanın stratejisinde bu seçeneklere yer vermesi, sadece içsel tahsilata bağlı kalmayıp piyasa imkanlarını da kullandığını gösterir. Böylece donuk alacak stoku hedeflenen sürede düşürülebilir. Eğer bu yöntemler hiç düşünülmezse, banka yıllarca düşük tahsilat oranlarıyla sorunlu kredileri bilançosunda tutarak kaynaklarını bağlayabilir.","• Strateji planında, belirli bir dönemde sorunlu alacak satışı veya menkul kıymetleştirme hedefi olup olmadığına bakın (örn. ""2024’de varlık yönetim şirketine 200 milyon TL portföy satışı planlanmıştır"" gibi).• Bankanın, tamamen tahsil imkanı kalmamış kredileri belirleyip bunları kayıttan düşmeye yönelik bir politikası olup olmadığını inceleyin; bu amaçla karşılık politikasında veya yönetim kararlarında, belirli kriterleri sağlayan alacakların silineceğine dair kayıt arayın.• Menkul kıymetleştirme (seküritizasyon) seçeneğinin değerlendirilip değerlendirilmediğini bankanın strateji dokümanından veya ALCO raporlarından kontrol edin; özellikle yüksek hacimli perakende portföyler için böyle bir projenin masaya gelmiş olup olmadığına bakın.• Satış veya silme işlemlerinin geçmişte yapılıp yapılmadığını (emsal teşkil etmesi açısından) bankanın finansal raporlarından ya da notlarından tespit edin; geçmiş uygulamalar varsa, stratejide bunların devamına veya arttırılmasına yönelik plan bulunup bulunmadığına dikkat edin.","Portföy Satış Planı – Strateji belgesinde veya yönetim kuruluna sunulan planda, yıl bazında planlanan sorunlu kredi satış tutarları ve hedeflenen satış tarihlerini gösteren tablo.Karşılık ve Kayıttan Düşme Politikası – Örneğin ""üst üste 5 yıl tahsilat yapılmayan ve %100 karşılık ayrılmış krediler yönetim kurulu onayı ile kayıtlardan silinebilir"" şeklinde bir hüküm içeren dahili politika belgesi.Gerçekleşmiş Satış/Silme Örnekleri – Son dönemde yapılmış bir sorunlu kredi portföy satışına ait yönetim kurulu onay kararı veya bir grup kredinin kayıtlardan çıkarıldığını gösteren muhasebe fişi ve açıklaması (gelecek stratejiye referans olarak kullanılabilir)."
Sorunlu Alacak Çözümleme Rehberi Madde 22(c),5411 sayılı Bankacılık Kanunu md.57 (alacaktan dolayı edinilen varlıklar); EBA/GL/2018/06 (alacak/teminat türü değişikliği),"Banka, sorunlu alacaklarını çözümlerken alacağın veya teminatın türünü değiştirmeyi de (alacaktan dolayı edinim yoluyla varlık devralma, borcun sermayeye çevrilmesi, borç karşılığı taşınmaz/menkul alma veya teminat ikamesi gibi) alternatif bir yöntem olarak değerlendiriyor mu?","Bazı durumlarda nakit tahsilat yerine, alacağa karşılık mal veya hisse senedi almak bankanın zararını azaltabilir ya da zaman kazandırabilir. Örneğin, iflas eşiğindeki bir şirketin borcunu sermayeye çevirerek ortak olmak, ileride şirket düzelirse alacağın tahsilini sağlayabilir. Bu madde, bankanın klasik yollar dışında yaratıcı çözümleri de (gayrimenkul veya başka varlıkları portföyüne geçici olarak almak, teminatı değiştirmek vb.) masaya koymasını ister. Böylelikle, normal tahsilatın mümkün olmadığı durumlarda bankanın eline farklı kurtarma opsiyonları geçmiş olur.","• Banka kredi portföyünde, geçmişte borçlara karşılık edinilmiş önemli varlıklar (gayrimenkul, iştirak hissesi vb.) olup olmadığına bakın; varsa bunların stratejiye nasıl entegre edildiğini (ör. satılmak üzere elde tutulduğu) inceleyin.• Strateji belgesinde veya ilgili politikada, borcun sermaye veya varlık takasına dair prensiplerin yer alıp almadığını kontrol edin (örn. ""şirket kurtarma planı kapsamında borç sermaye takasına gidilebilir"" gibi ifadeler).• Büyük ölçekli sorunlu ticari kredilerde, borçlu şirkete ait varlıkların veya iştiraklerin bankaya devralınması seçeneğinin değerlendirilip değerlendirilmediğine dair yönetim kurulu değerlendirmelerini arayın.• Teminat ikamesi (mevcut değeri düşük teminat yerine daha likit/değerli teminat alma) uygulamasının yapılıp yapılmadığını ve prosedürlerde bunun mekanizmasının tanımlanıp tanımlanmadığını inceleyin.","Alacaktan Dolayı Edinim Kayıtları – Bankanın bilançosunda ""Alacaktan Dolayı Edinilen Varlıklar"" kaleminde görülen büyük tutarlı bir gayrimenkul veya iştirak, bunun hangi krediye istinaden devralındığını gösterir açıklama ile birlikte.Borç-Varlık Takası Örneği – Örneğin bir ticari krediye karşılık borçlu şirketin bir taşınmazının bankaya devriyle sonuçlanmış bir anlaşmaya dair sözleşme veya yönetim onay belgesi.Strateji/Politika Belgesi – Borcun hisseye çevrilmesi (debt-to-equity) gibi işlemlerin hangi şartlarda yapılacağını açıklayan, risk yönetimi onayını gerektiren prosedür maddesini içeren belge."
Sorunlu Alacak Çözümleme Rehberi Madde 22(d),İcra ve İflas Kanunu (hukuki takip); TBB Finansal Yeniden Yapılandırma Çerçevesi (gayri yargısal çözüm); EBA/GL/2018/06 (yasal çözümler),"Banka, sorunlu alacakları çözümlemek için yasal takip prosedürlerini (iflas, icra gibi) veya mahkeme dışı uzlaşma yollarını (alacaklılar arası anlaşmalar, yapılandırma protokolleri) alternatifler arasında değerlendiriyor mu?","Bazı borçlular için hukuki yollara başvurarak teminatların cebri icrası veya iflas süreçleri en etkin çözüm olabilirken, bazen de mahkeme sürecine girmeden karşılıklı anlaşma ile daha hızlı sonuç alınabilir. Bankanın stratejisinde her iki yolu da (yargısal ve yargı dışı çözüm) dikkate alması, duruma göre en verimli yöntemi seçebilmesini sağlar. Bu maddeyle, banka gerektiğinde hukuki süreci devreye sokmaktan çekinmemeli ancak uzun dava süreçlerine alternatif olarak uzlaşma/arada anlaşma imkanlarını da göz önünde bulundurmalıdır.","• Bankanın kredi takip politikalarında, belirli bir gecikme süresi veya kriter sonrası yasal takibe geçiş eşiklerinin tanımlanmış olup olmadığına bakın (örn. ""90 gün gecikmeyi aşan krediler için yasal takip başlatılır"" gibi).• Strateji dokümanında, yasal takibin bir çözüm seçeneği olarak ne zaman tercih edileceğine dair bir yol haritası veya kriter seti bulunup bulunmadığını kontrol edin; aynı şekilde, uzlaşma veya yapılandırma anlaşmalarının (mahkeme dışı) ne şartlarda değerlendirileceğinin belirtilip belirtilmediğine bakın.• Sorunlu büyük kredilerde, bankanın diğer alacaklılarla birlikte hareket ederek borçlu ile yapılandırma anlaşmalarına girdiği örnekler olup olmadığını (ör. TBB bünyesindeki Finansal Yeniden Yapılandırma anlaşmaları) inceleyin.• Hukuk birimi raporlarını kontrol ederek, donuk alacakların ne kadarında yasal yola başvurulduğu ve ne kadarında uzlaşmayla çözüm arandığına dair istatistiklerin tutulup tutulmadığını tespit edin; bu, stratejinin uygulanmasında denge sağlanıp sağlanmadığını gösterir.","Kredi Takip Politikası – Hukuki takip başlatma kriterlerini ve onay mercilerini tanımlayan iç düzenleme (örn. belirli büyüklükteki krediler için hukuk müşavirliği onayı gerekliliği vb.).Yeniden Yapılandırma Protokol Örnekleri – Bankanın da taraf olduğu, bir borçluyla çoklu banka anlaşmasıyla yapılan mahkeme dışı yeniden yapılandırma sözleşmesi (imza tarih ve şartlarını içerir).Hukuki Takip Raporu – Banka hukuk biriminin, toplam sorunlu alacakların yüzde kaçında icra/iflas yoluna gidildiğini, kaç dosyanın uzlaşma ile kapandığını gösterir periyodik performans raporu."
Sorunlu Alacak Çözümleme Rehberi Madde 23,Sorunlu Alacak Stratejisi Operasyonel Plan Kılavuzları; ECB NPL Guide (orta/uzun vadeli seçenekler),"Banka, kısa vadede uygulanamayacak ancak orta ve uzun vadede devreye alınabilecek sorunlu alacak çözümleme seçeneklerini belirleyip, bu seçeneklerin ileride uygulanabilmesi için yapılması gereken hazırlıkları operasyonel planında belirtmiş mi?","Bazı yöntemler (örneğin büyük bir portföy satışı veya seküritizasyon) şu anki piyasa veya banka şartlarında mümkün olmasa da, ileride koşullar değiştiğinde kullanılabilir hale gelebilir. Bankanın stratejisi, şu anda uygulanamayan bu seçenekleri tamamen göz ardı etmek yerine, geleceğe yönelik hazırlıkları (veri iyileştirme, yasal engellerin kaldırılması, yatırımcı ilişkileri kurulması gibi) tanımlamalıdır. Bu madde, bankanın gelecekte fırsat doğduğunda hızlı hareket edebilmesi için şimdiden plan yapmasını sağlar. Aksi halde, ortam uygun hale geldiğinde banka hazırlıksız yakalanıp potansiyel faydayı kaçırabilir.","• Operasyonel plan dokümanını gözden geçirerek, “orta-uzun vadeli planlar” veya benzeri bir bölümde, şu anda yapılamayan ancak ileride yapılması öngörülen işlemlerin listelenip listelenmediğini kontrol edin.• Bu listelenen işlemler için bankanın önden yapmayı planladığı hazırlıkların belirtilip belirtilmediğine bakın; örneğin, plan içerisinde ""NPL seküritizasyonu için veri havuzu iyileştirme projesi 2025'te tamamlanacak"" gibi spesifik hazırlık adımları var mı inceleyin.• Banka personeliyle veya dokümanlarla, gelecekteki seçeneklere ilişkin herhangi bir yol haritası oluşturulup oluşturulmadığını doğrulayın (ör. yatırımcı tabanını genişletmek için şimdiden danışmanlarla çalışma, veya yasal engel varsa ilgili mercilerle iletişim adımları).• Orta ve uzun vadede uygulanabilecek seçeneklerin, kısa vadeli planda yer almamasının gerekçelendirilip gerekçelendirilmediğini (örn. ""piyasa likiditesi yetersizliği nedeniyle 2024’te satış yok, ancak 2025 için hazırlık yapılıyor"") plan içinde arayın.","Operasyonel Plan – ""Orta ve Uzun Vadeli Stratejik Seçenekler"" başlıklı bir kısımda, örneğin seküritizasyon veya büyük hacimli portföy satışı gibi işlemlerin 2025-2026 döneminde değerlendirilmek üzere planlandığına dair ifadeler.Hazırlık Faaliyetleri Takvimi – İleride uygulanacak yöntemler için yürütülen hazırlık projelerinin (ör. veri iyileştirme, sistem geliştirme, kadro eğitimi) ve bunların hedef tarihlerinin listelendiği bir takvim veya Gantt şeması.Üst Yönetim Sunumu – Gelecek dönem stratejilerinin anlatıldığı sunumda, “şu anda değil ama 2 yıl içinde planlanan girişimler” şeklinde bir bölüm, ve burada ileriye dönük opsiyonların hayata geçmesi için atılacak adımların (ör. belirli bir tarihte pilot satış denemesi) not edildiği slayt."
Sorunlu Alacak Çözümleme Rehberi Madde 24,ECB NPL Guide (uzun vadeli makul seviye belirlenmesi); EBA/GL/2018/06 (hedef kalibrasyonu),"Banka, kısa ve orta vadeli hedeflerini belirlemeden önce, geçmiş veriler, kendi uygulama tecrübeleri ve uluslararası ölçütleri dikkate alarak hem portföy hem toplam kredi portföyü için makul bir uzun vadeli sorunlu alacak seviyesi tanımlamış mı?","Stratejik planlamada, nihai olarak ulaşılmak istenen makul bir donuk alacak seviyesi (hem bütün bankada hem de her bir portföyde) tanımlanırsa, kısa ve orta vadeli hedefler bu uzun vadeli vizyona göre ayarlanabilir. Banka geçmişte hangi en düşük seviyelere inebildiğini, uluslararası benzer bankaların hangi oranları yakaladığını analiz ederek kendine gerçekçi ama iddialı bir ""uzun vadeli NPL oranı"" hedefi koymalıdır. Bu madde, stratejinin sadece yakın dönem taktiklerinden ibaret olmayıp, uzun vadeli sürdürülebilir bir risk seviyesi gözetmesini sağlar.","• Strateji dokümanında, bankanın uzun vadede erişmek istediği donuk alacak oranı veya tutarı gibi bir hedefin tanımlanıp tanımlanmadığına bakın (örn. ""2028 itibarıyla NPL oranımızı %3 seviyesine indirmeyi amaçlıyoruz"").• Bu uzun vadeli seviyenin belirlenmesinde referans alınan verilerin ve kıyaslamaların sunulup sunulmadığını kontrol edin: Örneğin, geçmiş 10 yılın en düşük NPL oranı veya sektör ortalaması, yurtdışı örnek bankaların oranları gibi bilgiler stratejide yer alıyor mu?• Kısa ve orta vadeli hedeflerin, tanımlanan uzun vadeli seviyeye doğru kademeli bir yaklaşım içerip içermediğini inceleyin; hedeflerin lineer veya mantıklı bir yakınsama gösterdiğini doğrulayın.• Uzun vadeli hedefin gerekçelendirilmesinin (örn. ""makroekonomik koşullar ve kredi büyümesi beklentileri dahilinde bizim için sürdürülebilir NPL seviyesi budur"" şeklinde) stratejide açıklanıp açıklanmadığını kontrol edin.","Strateji Belgesi – ""Uzun Vadeli Hedefler"" başlığı altında, bankanın sürdürülebilir gördüğü NPL oranının belirtildiği ve bu oranın nasıl belirlendiğinin (tarihsel trend ve uluslararası kıyas) anlatıldığı kısım.Karşılaştırmalı Analiz Tablosu – Bankanın kendi NPL oranını geçmiş yıl ortalamaları ve benzer ölçekli/ülkedeki bankaların oranlarıyla karşılaştıran ve hedef seviye için bu kıyaslamayı kullanan tablo veya grafik.Yönetim Kurulu Sunum Notu – Strateji onayı sırasında yönetimin, uzun vadeli NPL hedefine ilişkin tartışmasını ve bu hedefin neden makul olduğuna dair açıklamasını içeren tutanak veya sunum belgesi."
Sorunlu Alacak Çözümleme Rehberi Madde 25,EBA/GL/2018/06 (niceliksel hedefler ve makro varsayımlar); ECB NPL Guide (orta vadede somut azalış hedefi),"Banka, sorunlu alacaklar ve alacaktan dolayı edinilen varlıklarda, en azından orta vadede somut bir azalış sağlayacak, açıkça tanımlanmış, gerçekçi ve iddialı niceliksel hedeflere yer verilir. Makroekonomik koşullardaki değişiklik beklentileri nesnel göstergelere dayalı olmaları halinde sorunlu alacakların hedef seviyelerinin belirlenmesinde rol alabilir, ancak tek belirleyici olarak kullanılmamalıdır.","Stratejide yer alan rakamsal hedefler, bankanın sorunlu kredi stokunu belirgin şekilde azaltacak ölçüde olmalıdır. ""Somut azalış"" vurgusu, hedeflerin etkisinin net görülebilir olmasını, yani kayda değer bir düşüş sağlamasını gerektirir. Bu hedeflerin aynı zamanda gerçekçi olması (ulaşılabilir) fakat bankayı zorlayacak kadar iddialı tutulması, çaba seviyesini yüksek tutar. Ayrıca, ekonomik tahminler hedef ayarlamada kullanılabilir fakat sırf iyimser makro beklentilere dayanarak hedef belirlenmemelidir; aksi takdirde hedefler yanıltıcı olur. Bu madde, hedeflerin hem anlamlı hem de sağlam temelli olmasını garanti altına alır.","• Stratejik hedeflerin sayısal olarak tanımlandığını (örn. ""NPL oranı 2025 sonunda %X olacak"" gibi) ve belirsiz ifadeler içermediğini doğrulayın.• Orta vadeli (yaklaşık 3 yıllık) dönemde, bu hedeflerin bankanın donuk alacak rakamlarında önemli bir düşüşe tekabül edip etmediğini hesaplayın; örneğin hedef gerçekleşirse NPL bakiyesi ne kadar azalıyor, bu kayda değer mi değerlendirin.• Hedeflerin belirlenmesinde kullanılan varsayımları inceleyin: Makroekonomik iyileşme öngörüleri varsa, bunların güvenilir kaynaklara (mesela resmi büyüme/tahminlere) dayandığını ve bankanın iç stres testleriyle tutarlı olup olmadığını kontrol edin.• Stratejide veya eklerinde, makro tahminlerin belirsizliği karşısında hedeflerin nasıl revize edilebileceğine dair bir ifade veya esneklik mekanizması bulunup bulunmadığını araştırın (örn. ""ekonomik şartlar beklenenden kötü gerçekleşirse hedefler gözden geçirilecektir"").","Strateji Hedefleri Listesi – Orta vadeli (3 yıllık) dilim için yıllar bazında NPL oranı/ tutarı ve edinilmiş varlık tutarı hedeflerinin net rakamlarla sıralandığı bölüm.Makro Varsayım Notu – Hedeflere ulaşılırken 2024-2026 için öngörülen makro parametrelerin (GSYİH büyüme, enflasyon, vb.) ve bunların kaynaklarının (ör. Merkez Bankası tahminleri) belirtildiği sayfa.Duyarlılık Analizi – Strateji belgesine eklenmiş olabilecek bir analizde, farklı makro senaryolar altında (iyimser/kötümser) NPL oranının nasıl değişeceğinin modellenmesi ve bu model sonuçlarına göre hedef aralıklarının belirlendiğine dair çalışma."
Sorunlu Alacak Çözümleme Rehberi Madde 26,ECB NPL Guide (hedeflerin boyutlandırılması); EBA/GL/2018/06 (portföy/vade/seçenek bazlı hedefleme),"Bankalar hedeflerini oluştururken; vade (kısa vadeli-1 yıl, orta vadeli-3 yıl, uzun vadeli hedefler), portföy (perakende krediler, konut kredileri, tüketici kredileri, KOBİ kredileri, kurumsal krediler gibi) ve sorunlu alacak çözümleme seçeneklerini (yeniden yapılandırma, alacak/teminat türünün değiştirilmesi, sorunlu alacak satışları, kayıttan düşme gibi) dikkate almalıdır.","Hedeflerin farklı boyutlarda tanımlanması, bankanın nerede, ne zaman ve hangi yolla iyileşme sağlamayı amaçladığını netleştirir. Örneğin, kısa vadede bireysel kredilerde yeniden yapılandırma yoluyla %X düşüş, orta vadede kurumsal portföyde satış yoluyla %Y düşüş hedeflenmesi gibi... Bu şekilde çok boyutlu hedefleme, yönetimin performansı izlerken hangi alanlarda başarı veya gecikme olduğunu görmesini sağlar. Tek bir toplam hedef yerine detaylı hedefler konulmaması halinde, bazı portföylerdeki sorunlar maskelenebilir veya belirli çözüm yöntemlerinin performansı ölçülemez.","• Strateji belgesinde, hedeflerin ayrı tablolar veya alt başlıklar halinde vade, portföy ve yöntem kırılımlarında sunulup sunulmadığını kontrol edin.• Örneğin, kısa-orta-uzun vadeli hedeflerin her biri için farklı rakamlar verilmiş mi? Portföy bazında (tüketici, ticari vb.) NPL azaltım hedeflerinin paylaştırıldığı bir çalışma var mı? Çözüm yöntemleri (örn. yeniden yapılandırma ile ne kadarlık düşüş sağlanacak, satışla ne kadar) ayrı hesaplanmış mı, bunlara bakın.• Farklı boyutlardaki hedeflerin birbiriyle tutarlı olup olmadığını doğrulayın; örneğin, portföy alt hedeflerinin toplamı genel hedefe eşit mi, yöntem bazlı hedefler zaman planına uygun dağıtılmış mı?• Banka içi izleme raporlarında, bu çok boyutlu hedeflerin takibinin yapılıp yapılmadığını inceleyin (ör. her bir portföy ve yöntem için gerçekleşme vs hedef takibi yapılan bir format var mı).","Hedeflerin Dağılım Tablosu – Strateji belgesinde veya ekinde yer alan, vade (yıllar) x portföy x çözüm yöntemi matrisine yayılan hedef rakamları (ör. 2024-Konut Kredileri-Yapılandırma: %Z azalış hedefi) gösteren detaylı tablo.Yönetim Raporlama Şablonu – İç izleme amaçlı kullanılan ve her portföy için her çözüm yönteminin katkısını ayrı sütunlarda gösteren aylık/çeyreklik NPL hedef-gerçekleşme raporu.Strateji Sunum Slaytı – Yönetim kuruluna sunulan slaytlardan biri, örneğin ""Portföy Bazında NPL Azaltım Hedefleri"" veya ""Yöntemlere Göre NPL Azalış Katkısı"" başlıklı, grafik veya bar chart ile bu dağılımları görselleştiren slayt."
Sorunlu Alacak Çözümleme Rehberi Madde 27,Denetim Yönetmeliği md.7/A (yönetim kurulu onayı gerekliliği); EBA/GL/2018/06 (operasyonel planın onayı),"Banka, sorunlu alacak stratejisini, yönetim kurulu tarafından onaylanmış bir operasyonel plan çerçevesinde uygulıyor mu ve bu operasyonel plan, stratejinin üç yıllık süre içinde nasıl uygulanacağını açıkça tanımlıyor mu?","Operasyonel plan, stratejinin kağıttan sahaya indirilmiş halidir. Yönetim kurulu onayı, bu plana resmiyet ve ağırlık kazandırır, tüm bankada uygulanmasını sağlar. Planın üç yıllık dönem için ne yapılacağını detaylı tarif etmesi ise belirsizliği ortadan kaldırır; kim, neyi, ne zaman yapacak sorularına yanıt bulur. Bu madde, stratejinin somut eylemlere bağlanmasını ve üst yönetimce sahiplenilmesini güvence altına alır. Aksi halde, strateji niyet beyanı olarak kalabilir.","• Operasyonel plan belgesinin varlığını ve yönetim kurulu tarafından onaylandığına dair belgeyi (karar veya imza) kontrol edin.• Planın kapsamında, önümüzdeki 3 yıl için yıllara yayılan eylem adımlarının tanımlanıp tanımlanmadığını inceleyin (örn. 1. yıl yapılacaklar, 2. yıl yapılacaklar şeklinde bir zaman çizelgesi var mı?).• Planın, stratejide belirtilen ana hedef ve politikaları gerçekleştirmek için somut projeler, sorumlu birimler ve zamanlamalar içerip içermediğini değerlendirin; belirsiz ifadeler yerine ölçülebilir görev tanımlarının olup olmadığına bakın.• Operasyonel plan ile yönetim kurulu onayı arasındaki tutarlılığı denetleyin: Yönetim kurulu kararında planın onaylandığı ve strateji ile uyumlu bulunduğu belirtilmiş mi, buna dair kayıt arayın.","Yönetim Kurulu Onay Kararı – Operasyonel planın onaylandığını belirten ve hangi dönemi kapsadığını içeren kurul kararı (ör. ""2024-2026 Sorunlu Alacak Operasyonel Planı onaylandı"").Operasyonel Plan Dokümanı – Detaylı aksiyon listeleri, zaman çizelgeleri ve sorumlularla birlikte, stratejinin uygulanmasını tarif eden belge; özellikle her yıl için belirlenen kilit faaliyetlerin listelendiği bölüme dikkat çekilebilir.Uygulama Takip Raporları – Operasyonel planın yürütülmesini izlemek için kullanılan iç raporlar; örneğin planlanmış eylemlerin gerçekleşme durumunu trafik ışığı sistemiyle gösteren üç aylık ilerleme raporu (bu planın somut uygulamada takip edildiğine kanıt teşkil eder)."
Sorunlu Alacak Çözümleme Rehberi Madde 28(a),Eylem Planı Hazırlama Kılavuzu (hedeflerin takvime bağlanması); EBA/GL/2018/06 (operasyonel plan hedefleri),"Operasyonel planda, sorunlu alacakların çözümlenmesine ilişkin açıkça belirlenmiş ve takvimlendirilmiş amaç ve hedefler yer alıyor mu?","Bir operasyonel planın başarısı, içerdiği hedeflerin ne kadar net ve zamana bağlı olduğuna bağlıdır. Bu bent, planın ""ne yapılacak, ne zaman yapılacak"" sorularına cevap veren somut hedefler içermesini şart koşar. Örneğin, ""Her çeyrek sonunda TGA oranı %X azalacak"" gibi zaman atfı olan hedefler belirlenmiş olmalıdır. Böylelikle ilerleme ölçülebilir ve hesap verilebilir olur. Eğer hedefler belirsiz veya zamansız olursa, planın uygulanması da ciddiyetini yitirir.","• Operasyonel planda belirlenen hedefleri inceleyerek, her bir hedefin belirli bir zaman dilimi veya bitiş tarihi ile ilişkilendirilip ilişkilendirilmediğini kontrol edin (örn. ""2024 sonuna kadar Y milyon TL tahsilat"" şeklinde).• Hedef ifadelerinin ölçülebilir ve net olup olmadığına bakın; muğlak ifadeler (""olabildiğince azaltılacak"" gibi) yerine sayısal veya ikili (tamamlandı/tamamlanmadı) olarak takip edilebilecek şekilde ifade edilmiş olmasına dikkat edin.• Hedeflerin planın genel üç yıllık takvimiyle uyumlu dizildiğini, yıllara veya dönemlere bölünerek bir zaman çizelgesine oturtulduğunu doğrulayın.• Bu hedeflerin, stratejide belirlenen ana hedeflerle tutarlı olup olmadığını (operasyonel plan hedeflerinin stratejik hedeflere katkı sağlayacak şekilde alt kırılımlara sahip olup olmadığını) denetleyin.","Operasyonel Plan Hedef Tablosu – Planda, her bir dönem (çeyrek/yıl) için belirlenmiş sayısal hedeflerin listelendiği tablo (ör. 2024 Q4: tahsilat = X TL, yeniden yapılandırma = Y adet kredi).Zaman Çizelgesi – Plan dokümanında yer alan, önemli kilometre taşlarını ve hedef tamamlanma tarihlerini gösteren bir Gantt şeması veya takvim görseli.İzleme Raporu Örneği – Operasyonel plan uygulaması sırasında kullanılan iç raporlardan biri; bu raporda plan hedeflerinin takvimine göre gerçekleşme durumunu (planlanan vs gerçekleşen) izleyen bir bölüm (bu, hedeflerin gerçekten takvime bağlandığını teyit eder)."
Sorunlu Alacak Çözümleme Rehberi Madde 28(b),Bankanın İç Planları (portföy bazında yöntemler); EBA/GL/2018/06 (portföy bazlı eylemler),"Operasyonel planda, her bir portföy bazında (kredi türü/segmenti bazında) uygulanacak sorunlu alacak çözümleme yöntemleri belirtilmiş mi?","Farklı kredi portföyleri (örneğin bireysel krediler, KOBİ kredileri, kurumsal krediler) farklı stratejiler gerektirebilir. Bu bent, operasyonel planın tek bir genel yaklaşım yerine her portföy için ayrı eylem planları içermesini amaçlar. Örneğin, bireysel kredilerde ağırlık yeniden yapılandırmaya verilirken, kurumsal kredilerde varlık satışı veya hukuki takip planlanabilir. Portföy bazında yöntemlerin belirlenmesi, ilgili ekiplerin odaklanmasını sağlar ve stratejinin her alanda uygun yöntemle yürütülmesine imkan tanır.","• Operasyonel planda portföylere (ya da müşteri segmentlerine) göre ayrılmış alt bölümler olup olmadığına bakın; bu bölümlerde ilgili portföy için planlanan çözüm yöntemlerinin (ör. yapılandırma, satış, tahsilat) listelendiğini kontrol edin.• Her portföy için belirlenen yöntemlerin, o portföyün yapısına uygun olup olmadığını değerlendirin (örn. teminatsız tüketici kredilerinde yasal takip yönteminin, teminatlı ticari kredilerde ise teminat yolu ile tahsilatın vurgulandığına dikkat edin).• Farklı portföyler arası kaynak dağılımı veya önceliklendirme yapılıp yapılmadığını inceleyin; plan, hangi portföylerin sorunlu alacak çözümlemesinde öncelikli olduğunu ve hangi yöntemlerin orada yoğunlaşacağını belirtmiş mi bakın.• Portföy bazındaki planların, bankanın genel stratejisiyle bütünlük arz edip edip etmediğini (tüm portföylerin toplamı genel hedeflere ulaşmayı destekliyor mu) kontrol edin.","Operasyonel Plan – ""Portföy Bazlı Planlar"" ana başlığı altında, örneğin Perakende Krediler, Ticari Krediler, KOBİ Kredileri gibi alt başlıklar ve her biri için seçilmiş yöntemlerin ve hedeflerin listesi.Portföy Strateji Özetleri – Her portföy için hazırlanmış kısa strateji özeti dokümanları veya slaytları; içinde o portföyün NPL sorununu çözmek için hangi adımların atılacağı (örn. ""Konut Kredileri: 2024'te 1000 adet yeniden yapılandırma yapılacak, 200 adet ipotekli konut satışı gerçekleştirilecek"") belirtilir.Yönetim Raporu – Portföy bazında sorunlu alacak çözümleme faaliyetlerinin ilerleyişini gösteren rapor; örneğin her portföy sütununda o portföy için yılbaşından bu yana yapılan yeniden yapılandırma/satış adedi ve planlanan hedefi yer alır."
